,R_fighter,B_fighter,win_by,last_round,date,location,Fight_type,Winner,indexfighter1,Agefighter1,weight_classfighter1,height_cmfighter1,reach_cmfighter1,ape_indexfighter1,Number_of_fightsfighter1,win_percentagefighter1,O_SLpMfighter1,O_StrPctfighter1,D_SApMfighter1,D_StrPctfighter1,O_TdAvgfighter1,O_TdAccfighter1,O_SubAvgfighter1,D_TdPctfighter1,weightfighter1,indexfighter2,Agefighter2,weight_classfighter2,height_cmfighter2,reach_cmfighter2,ape_indexfighter2,Number_of_fightsfighter2,win_percentagefighter2,O_SLpMfighter2,O_StrPctfighter2,D_SApMfighter2,D_StrPctfighter2,O_TdAvgfighter2,O_TdAccfighter2,O_SubAvgfighter2,D_TdPctfighter2,weightfighter2
0,Adrian Yanez,Gustavo Lopez,KO/TKO,3,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,1,1524,28,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,18,0.8333333333333334,6.35,0.39,5.52,0.6,0.0,0.0,0.0,1.0,135,133,32,Bantamweight 135 lb,165.0,170.0,1.0303030303030305,19,0.631578947368421,2.48,0.4,3.87,0.57,1.74,0.41,0.7,0.31,135
1,Trevin Giles,Roman Dolidze,Decision - Unanimous,3,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,1,2450,29,Middleweight 185 lb,183.0,188.0,1.0273224043715847,18,0.7777777777777778,3.09,0.54,2.2,0.59,1.37,0.64,0.5,0.75,185,2121,33,Middleweight 185 lb,188.0,193.0,1.0265957446808511,10,0.9,2.36,0.48,1.4,0.64,2.74,0.52,1.5,0.37,185
2,Harry Hunsucker,Tai Tuivasa,KO/TKO,1,"March 20, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,0,2506,33,Heavyweight 265 lb,188.0,190.0,1.0106382978723405,12,0.5833333333333334,3.83,0.52,6.7,0.42,0.0,0.0,2.4,0.0,241,1246,28,Heavyweight 265 lb,188.0,190.0,1.0106382978723405,18,0.8333333333333334,4.54,0.52,3.56,0.48,0.0,0.0,0.0,0.5,264
3,Marion Reneau,Macy Chiasson,Decision - Unanimous,3,"March 20, 2021","Las Vegas, Nevada, USA",Women's Bantamweight Bout,0,1142,44,Bantamweight 135 lb,168.0,173.0,1.0297619047619049,18,0.5,3.2,0.41,3.52,0.59,0.62,0.63,0.8,0.5,135,2010,30,Featherweight 145 lb,180.0,183.0,1.0166666666666666,10,0.8,4.04,0.46,2.56,0.45,1.08,0.23,0.4,0.64,145
4,Leonardo Santos,Grant Dawson,KO/TKO,3,"March 20, 2021","Las Vegas, Nevada, USA",Lightweight Bout,0,1167,42,Lightweight 155 lb,183.0,190.0,1.0382513661202186,25,0.72,2.88,0.47,2.77,0.59,1.01,0.29,0.3,0.86,155,2177,28,Lightweight 155 lb,178.0,183.0,1.0280898876404494,19,0.8947368421052632,3.06,0.5,2.05,0.49,3.36,0.32,1.3,0.4,155
5,Max Griffin,Song Kenan,KO/TKO,1,"March 20, 2021","Las Vegas, Nevada, USA",Welterweight Bout,1,2374,36,Welterweight 170 lb,180.0,193.0,1.0722222222222222,26,0.6923076923076923,4.35,0.49,3.97,0.57,1.63,0.53,0.4,0.7,170,894,31,Welterweight 170 lb,183.0,180.0,0.9836065573770492,22,0.7272727272727273,4.39,0.46,4.37,0.54,0.0,0.0,0.0,0.5,170
6,Derek Brunson,Kevin Holland,Decision - Unanimous,5,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,1,1746,38,Middleweight 185 lb,185.0,196.0,1.0594594594594595,31,0.7419354838709677,3.5,0.47,2.84,0.52,3.23,0.33,0.6,0.89,185,2546,29,Middleweight 185 lb,190.0,206.0,1.0842105263157895,28,0.75,3.67,0.54,2.34,0.56,0.9,0.45,0.5,0.5,185
7,Montel Jackson,Jesse Strader,KO/TKO,1,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,1,2745,29,Bantamweight 135 lb,178.0,190.0,1.0674157303370786,13,0.8461538461538461,3.42,0.55,1.34,0.57,4.13,0.78,0.3,0.68,135,826,30,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,8,0.625,5.03,0.51,5.28,0.47,3.87,0.57,0.0,1.0,135
8,JP Buys,Bruno Silva 125,KO/TKO,2,"March 20, 2021","Las Vegas, Nevada, USA",Flyweight Bout,0,1716,25,Bantamweight 135 lb,165.0,170.0,1.0303030303030305,13,0.6923076923076923,1.76,0.43,2.46,0.42,1.7,0.3,2.5,0.25,135,963,31,Flyweight 125 lb,163.0,165.0,1.012269938650307,19,0.631578947368421,2.98,0.46,3.23,0.58,2.89,0.31,0.0,0.64,125
9,Matheus Nicolau,Manel Kape,Decision - Split,3,"March 13, 2021","Las Vegas, Nevada, USA",Flyweight Bout,1,546,29,Flyweight 125 lb,168.0,168.0,1.0,21,0.8095238095238095,3.88,0.53,3.18,0.67,1.75,0.47,1.2,0.92,125,109,28,Flyweight 125 lb,165.0,173.0,1.0484848484848486,23,0.7391304347826086,4.69,0.53,4.59,0.51,0.77,0.28,0.0,0.8,125
10,Misha Cirkunov,Ryan Spann,KO/TKO,1,"March 13, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,0,1991,35,Middleweight 185 lb,190.0,196.0,1.0315789473684212,22,0.6818181818181818,3.77,0.49,3.08,0.59,4.48,0.44,1.7,0.7,185,872,30,Light Heavyweight 205 lb,196.0,201.0,1.0255102040816326,26,0.7307692307692307,3.43,0.44,3.54,0.47,1.58,0.38,1.6,0.6,205
11,Charles Jourdain,Marcelo Rojo,KO/TKO,3,"March 13, 2021","Las Vegas, Nevada, USA",Featherweight Bout,1,2689,26,Featherweight 145 lb,175.0,175.0,1.0,17,0.7058823529411765,5.7,0.49,4.57,0.6,0.0,0.0,0.5,0.48,145,997,33,Bantamweight 135 lb,173.0,180.0,1.0404624277456649,25,0.64,4.9,0.36,7.07,0.51,0.57,0.5,0.0,0.66,135
12,Ashley Yoder,Angela Hill,Decision - Unanimous,3,"March 13, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,0,1518,34,Strawweight 115 lb,170.0,175.0,1.0294117647058822,16,0.5,3.08,0.39,3.76,0.47,1.2,0.3,0.6,0.69,115,2561,37,Strawweight 115 lb,160.0,163.0,1.01875,24,0.5416666666666666,5.56,0.49,5.15,0.62,0.57,0.3,0.1,0.78,115
13,Jonathan Martinez,Davey Grant,KO/TKO,2,"March 13, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,0,444,27,Bantamweight 135 lb,173.0,178.0,1.0289017341040465,18,0.7777777777777778,4.53,0.46,3.86,0.58,0.42,0.37,0.0,0.72,135,2390,36,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,19,0.6842105263157895,4.55,0.44,3.75,0.57,1.77,0.44,0.1,0.6,135
14,Dan Ige,Gavin Tucker,KO/TKO,1,"March 13, 2021","Las Vegas, Nevada, USA",Featherweight Bout,1,2676,30,Featherweight 145 lb,170.0,180.0,1.0588235294117647,20,0.75,3.9,0.46,3.47,0.57,1.35,0.25,0.4,0.55,145,1248,35,Featherweight 145 lb,168.0,168.0,1.0,15,0.8666666666666667,4.39,0.45,4.28,0.57,2.98,0.42,1.5,0.53,145
15,Rafa Garcia,Nasrat Haqparast,Decision - Unanimous,3,"March 13, 2021","Las Vegas, Nevada, USA",Lightweight Bout,0,2476,27,Lightweight 155 lb,170.0,178.0,1.0470588235294118,15,0.8666666666666667,3.53,0.35,5.47,0.53,4.0,0.44,0.3,0.7,155,2626,26,Lightweight 155 lb,178.0,183.0,1.0280898876404494,18,0.7222222222222222,5.17,0.45,4.7,0.66,0.13,0.14,0.0,0.78,155
16,Cortney Casey,JJ Aldrich,Decision - Split,3,"March 13, 2021","Las Vegas, Nevada, USA",Women's Flyweight Bout,0,2036,34,Flyweight 125 lb,170.0,170.0,1.0,19,0.5263157894736842,4.46,0.39,4.03,0.55,0.26,0.27,0.5,0.38,125,1662,29,Flyweight 125 lb,165.0,170.0,1.0303030303030305,14,0.7142857142857143,4.05,0.44,4.56,0.61,0.82,0.41,0.0,0.68,125
17,Matthew Semelsberger,Jason Witt,KO/TKO,1,"March 13, 2021","Las Vegas, Nevada, USA",Welterweight Bout,1,1060,29,Welterweight 170 lb,185.0,190.0,1.027027027027027,12,0.75,6.16,0.48,5.67,0.61,0.98,1.0,0.5,1.0,170,1423,35,Welterweight 170 lb,178.0,178.0,1.0,27,0.7037037037037037,2.26,0.47,2.63,0.5,6.89,0.48,1.0,1.0,170
18,Rani Yahya,Ray Rodriguez,Submission,2,"March 13, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,1,1536,37,Bantamweight 135 lb,168.0,170.0,1.011904761904762,39,0.717948717948718,1.58,0.38,1.76,0.5,2.9,0.33,1.9,0.24,135,1032,34,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,24,0.6666666666666666,0.9,0.27,3.89,0.4,1.42,0.5,0.0,0.44,135
19,Jinh Yu Frey,Gloria de Paula,Decision - Unanimous,3,"March 13, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,1,2274,36,Strawweight 115 lb,160.0,165.0,1.03125,17,0.6470588235294118,2.86,0.44,4.06,0.52,0.78,0.37,0.5,0.9,115,2162,26,Strawweight 115 lb,165.0,170.0,1.0303030303030305,10,0.6,4.2,0.52,2.91,0.65,0.33,0.2,0.7,0.68,115
20,Casey Kenney,Dominick Cruz,Decision - Split,3,"March 06, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,0,82,30,Bantamweight 135 lb,170.0,173.0,1.0176470588235291,21,0.7619047619047619,4.85,0.42,4.67,0.58,1.09,0.35,0.4,0.61,135,1924,36,Bantamweight 135 lb,173.0,173.0,1.0,27,0.8888888888888888,3.82,0.33,2.56,0.71,2.88,0.43,0.1,0.83,135
21,Kyler Phillips,Song Yadong,Decision - Unanimous,3,"March 06, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,1,707,26,Bantamweight 135 lb,173.0,183.0,1.0578034682080926,12,0.8333333333333334,5.5,0.49,3.43,0.61,3.32,0.5,0.7,0.69,135,893,24,Bantamweight 135 lb,173.0,170.0,0.9826589595375722,24,0.75,4.88,0.42,3.77,0.59,0.46,0.42,0.3,0.6,135
22,Israel Adesanya,Jan Blachowicz,Decision - Unanimous,5,"March 06, 2021","Las Vegas, Nevada, USA",UFC Light Heavyweight Title Bout,0,1687,32,Middleweight 185 lb,193.0,203.0,1.0518134715025906,23,0.9565217391304348,3.84,0.49,2.56,0.61,0.0,0.0,0.2,0.77,185,1819,39,Light Heavyweight 205 lb,188.0,198.0,1.053191489361702,37,0.7567567567567568,3.59,0.49,2.79,0.53,1.14,0.53,0.2,0.65,205
23,Thiago Santos,Aleksandar Rakic,Decision - Unanimous,3,"March 06, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,0,1166,38,Light Heavyweight 205 lb,188.0,193.0,1.0265957446808511,31,0.7096774193548387,3.95,0.48,2.28,0.56,0.61,0.36,0.1,0.66,205,1190,30,Light Heavyweight 205 lb,193.0,198.0,1.0259067357512954,16,0.875,4.23,0.52,2.23,0.52,0.75,0.25,0.2,0.9,205
24,Askar Askarov,Joseph Benavidez,Decision - Unanimous,3,"March 06, 2021","Las Vegas, Nevada, USA",Flyweight Bout,1,1583,29,Flyweight 125 lb,168.0,170.0,1.011904761904762,14,0.9285714285714286,3.37,0.55,2.65,0.56,2.75,0.28,0.0,0.64,125,1849,37,Flyweight 125 lb,163.0,165.0,1.012269938650307,36,0.7777777777777778,3.52,0.34,2.67,0.61,1.41,0.3,0.6,0.62,125
25,Amanda Nunes,Megan Anderson,Submission,1,"March 06, 2021","Las Vegas, Nevada, USA",UFC Women's Featherweight Title Bout,1,522,33,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,26,0.8076923076923077,4.55,0.51,2.81,0.55,2.46,0.54,0.8,0.82,135,1619,32,Featherweight 145 lb,183.0,183.0,1.0,16,0.6875,1.76,0.46,3.35,0.37,0.52,0.25,0.5,0.53,145
26,Drew Dober,Islam Makhachev,Submission,3,"March 06, 2021","Las Vegas, Nevada, USA",Lightweight Bout,0,2126,33,Lightweight 155 lb,173.0,178.0,1.0289017341040465,34,0.6764705882352942,4.38,0.4,4.08,0.52,0.82,0.18,0.1,0.55,155,481,30,Lightweight 155 lb,178.0,178.0,1.0,22,0.9545454545454546,2.21,0.58,0.79,0.7,3.37,0.66,1.3,0.88,155
27,Jordan Espinosa,Tim Elliott,Decision - Unanimous,3,"March 06, 2021","Las Vegas, Nevada, USA",Flyweight Bout,0,2218,32,Flyweight 125 lb,168.0,175.0,1.0416666666666667,24,0.625,4.22,0.52,2.94,0.57,0.75,0.28,0.2,0.7,125,2241,35,Flyweight 125 lb,170.0,168.0,0.9882352941176472,31,0.5806451612903226,3.45,0.44,2.63,0.57,3.79,0.45,1.1,0.56,125
28,Livinha Souza,Amanda Lemos,KO/TKO,1,"March 06, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,0,875,30,Strawweight 115 lb,160.0,160.0,1.0,18,0.7777777777777778,1.75,0.45,3.6,0.56,2.54,0.45,1.4,0.4,115,182,34,Strawweight 115 lb,163.0,165.0,1.012269938650307,13,0.8461538461538461,5.35,0.58,4.67,0.48,1.31,0.57,0.3,0.87,115
29,Kai Kara-France,Rogerio Bontorin,KO/TKO,1,"March 06, 2021","Las Vegas, Nevada, USA",Flyweight Bout,1,107,28,Flyweight 125 lb,163.0,175.0,1.0736196319018405,32,0.71875,5.09,0.4,3.79,0.65,0.51,0.23,0.0,0.87,125,1797,29,Flyweight 125 lb,165.0,170.0,1.0303030303030305,20,0.8,2.63,0.52,3.27,0.5,2.9,0.6,1.0,0.51,125
30,Aalon Cruz,Uros Medic,KO/TKO,1,"March 06, 2021","Las Vegas, Nevada, USA",Lightweight Bout,0,1923,32,Featherweight 145 lb,183.0,198.0,1.0819672131147542,12,0.6666666666666666,7.58,0.39,8.88,0.58,0.0,0.0,0.0,0.0,145,381,28,Lightweight 155 lb,185.0,180.0,0.972972972972973,8,0.875,10.53,0.75,3.42,0.56,0.0,0.0,0.0,0.66,155
31,Carlos Ulberg,Kennedy Nzechukwu,KO/TKO,2,"March 06, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,0,1347,31,Light Heavyweight 205 lb,193.0,196.0,1.0155440414507773,7,0.8571428571428571,8.76,0.61,4.02,0.51,1.18,1.0,0.0,1.0,205,14,29,Light Heavyweight 205 lb,196.0,211.0,1.076530612244898,11,0.8181818181818182,4.86,0.42,5.04,0.49,0.0,0.0,0.0,0.8,205
32,Sean Brady,Jake Matthews,Submission,3,"March 06, 2021","Las Vegas, Nevada, USA",Welterweight Bout,1,1783,29,Welterweight 170 lb,178.0,183.0,1.0280898876404494,15,1.0,3.91,0.54,3.22,0.62,3.22,0.6,0.9,0.87,170,426,27,Welterweight 170 lb,180.0,185.0,1.0277777777777777,22,0.7727272727272727,3.03,0.44,2.16,0.61,1.93,0.41,0.6,0.66,170
33,Mario Bautista,Trevin Jones,KO/TKO,2,"March 06, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,0,1864,28,Bantamweight 135 lb,175.0,175.0,1.0,11,0.8181818181818182,5.42,0.48,4.13,0.56,1.63,0.55,0.0,0.66,135,2701,31,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,20,0.65,2.22,0.54,4.49,0.38,1.09,0.15,0.0,0.71,135
34,Ciryl Gane,Jairzinho Rozenstruik,Decision - Unanimous,5,"February 27, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,1,2484,31,Heavyweight 265 lb,193.0,206.0,1.067357512953368,11,0.9090909090909092,4.83,0.58,2.27,0.62,0.69,0.22,0.6,0.55,245,945,33,Heavyweight 265 lb,188.0,198.0,1.053191489361702,15,0.8,2.8,0.46,3.07,0.45,0.0,0.0,0.0,0.75,242
35,Ronnie Lawrence,Vince Cachero,KO/TKO,3,"February 27, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,1,206,29,Bantamweight 135 lb,173.0,173.0,1.0,9,0.8888888888888888,3.54,0.57,1.62,0.55,9.15,0.78,0.3,1.0,135,2081,32,Featherweight 145 lb,168.0,173.0,1.0297619047619049,11,0.6363636363636364,3.29,0.45,6.51,0.43,0.0,0.0,0.5,0.18,145
36,Thiago Moises,Alexander Hernandez,Decision - Unanimous,3,"February 27, 2021","Las Vegas, Nevada, USA",Lightweight Bout,1,312,26,Lightweight 155 lb,175.0,178.0,1.0171428571428571,21,0.7142857142857143,2.52,0.37,4.12,0.56,1.0,0.35,1.1,0.6,155,2579,29,Lightweight 155 lb,175.0,183.0,1.0457142857142858,18,0.7222222222222222,3.97,0.37,3.94,0.57,1.43,0.33,0.0,0.64,155
37,Pedro Munhoz,Jimmie Rivera,Decision - Unanimous,3,"February 27, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,1,261,35,Bantamweight 135 lb,168.0,165.0,0.9821428571428572,26,0.7307692307692307,5.5,0.43,6.09,0.58,0.57,0.2,0.7,0.81,135,1077,32,Bantamweight 135 lb,163.0,173.0,1.0613496932515338,28,0.8214285714285714,4.03,0.4,3.9,0.6,0.88,0.27,0.1,0.92,135
38,Alex Caceres,Kevin Croom,Decision - Unanimous,3,"February 27, 2021","Las Vegas, Nevada, USA",Featherweight Bout,1,2082,33,Featherweight 145 lb,178.0,185.0,1.0393258426966292,31,0.6129032258064516,4.14,0.51,2.85,0.65,0.55,0.78,0.8,0.64,145,1931,34,Lightweight 155 lb,180.0,185.0,1.0277777777777777,35,0.6,2.65,0.35,2.88,0.41,0.49,0.05,0.5,0.3,155
39,Sabina Mazo,Alexis Davis,Decision - Unanimous,3,"February 27, 2021","Las Vegas, Nevada, USA",Women's Bantamweight Bout,0,417,24,Flyweight 125 lb,170.0,178.0,1.0470588235294118,12,0.75,6.45,0.44,4.5,0.57,0.71,0.8,0.2,0.66,125,2181,37,Bantamweight 135 lb,168.0,173.0,1.0297619047619049,32,0.65625,4.63,0.49,4.45,0.54,0.95,0.44,0.7,0.34,135
40,Magomed Ankalaev,Nikita Krylov,Decision - Unanimous,3,"February 27, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,1,1609,29,Light Heavyweight 205 lb,190.0,190.0,1.0,17,0.9411764705882352,3.6,0.55,2.05,0.62,1.15,0.31,0.0,0.85,205,30,30,Light Heavyweight 205 lb,190.0,196.0,1.0315789473684212,35,0.7714285714285715,4.33,0.56,2.52,0.43,1.34,0.33,1.3,0.55,205
41,Dustin Jacoby,Maxim Grishin,Decision - Unanimous,3,"February 27, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,1,2744,33,Light Heavyweight 205 lb,190.0,193.0,1.0157894736842106,22,0.7272727272727273,5.2,0.48,3.63,0.58,0.3,0.4,0.0,0.58,205,2371,37,Light Heavyweight 205 lb,190.0,198.0,1.0421052631578946,43,0.7441860465116279,3.4,0.52,2.07,0.59,0.27,0.33,0.0,0.66,205
42,Chris Daukaus,Aleksei Oleinik,KO/TKO,1,"February 20, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,1,2185,32,Heavyweight 265 lb,190.0,193.0,1.0157894736842106,16,0.75,7.71,0.53,3.51,0.61,0.0,0.0,0.0,1.0,250,633,44,Heavyweight 265 lb,188.0,203.0,1.0797872340425532,76,0.7763157894736842,3.55,0.5,3.99,0.44,2.16,0.46,2.2,0.33,240
43,Darrick Minner,Charles Rosa,Decision - Unanimous,3,"February 20, 2021","Las Vegas, Nevada, USA",Featherweight Bout,1,338,31,Featherweight 145 lb,170.0,175.0,1.0294117647058822,39,0.6666666666666666,2.58,0.64,1.95,0.32,2.46,0.72,2.8,0.66,145,958,35,Featherweight 145 lb,175.0,175.0,1.0,21,0.6666666666666666,3.05,0.36,3.62,0.48,1.64,0.37,1.0,0.38,145
44,Phil Hawes,Nassourdine Imavov,Decision - Majority,3,"February 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,1,2608,33,Middleweight 185 lb,183.0,196.0,1.0710382513661203,14,0.7857142857142857,4.2,0.56,3.43,0.51,2.42,0.33,0.3,1.0,185,2670,27,Middleweight 185 lb,190.0,190.0,1.0,14,0.7857142857142857,4.29,0.56,2.23,0.55,0.62,0.2,2.5,0.72,185
45,Derrick Lewis,Curtis Blaydes,KO/TKO,2,"February 20, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,1,172,37,Heavyweight 265 lb,190.0,201.0,1.0578947368421052,35,0.7428571428571429,2.56,0.5,2.51,0.41,0.6,0.28,0.0,0.55,260,1813,31,Heavyweight 265 lb,193.0,203.0,1.0518134715025906,18,0.8333333333333334,3.44,0.51,1.65,0.59,6.27,0.53,0.0,0.33,265
46,John Castaneda,Eddie Wineland,KO/TKO,1,"February 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,1,2033,30,Bantamweight 135 lb,168.0,180.0,1.0714285714285714,24,0.7916666666666666,4.38,0.46,4.53,0.56,0.65,0.22,0.3,0.63,135,1428,37,Bantamweight 135 lb,170.0,175.0,1.0294117647058822,40,0.6,3.4,0.29,3.66,0.69,0.34,0.33,0.1,0.86,135
47,Tom Aspinall,Andrei Arlovski,Submission,2,"February 20, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,1,1579,28,Heavyweight 265 lb,196.0,198.0,1.010204081632653,13,0.8461538461538461,7.19,0.65,2.37,0.7,2.73,1.0,1.4,1.0,256,1592,43,Heavyweight 265 lb,190.0,196.0,1.0315789473684212,53,0.6226415094339622,3.72,0.44,3.09,0.57,0.42,0.36,0.2,0.78,240
48,Danny Chavez,Jared Gordon,Decision - Unanimous,3,"February 20, 2021","Las Vegas, Nevada, USA",Featherweight Bout,0,2014,34,Featherweight 145 lb,173.0,170.0,0.9826589595375722,16,0.6875,2.87,0.38,3.84,0.5,2.0,0.6,0.0,0.87,145,2413,33,Featherweight 145 lb,175.0,173.0,0.9885714285714284,22,0.8181818181818182,5.22,0.56,3.12,0.59,2.54,0.39,0.0,0.5,145
49,Ketlen Vieira,Yana Kunitskaya,Decision - Unanimous,3,"February 20, 2021","Las Vegas, Nevada, USA",Women's Bantamweight Bout,0,1371,30,Bantamweight 135 lb,173.0,173.0,1.0,14,0.8571428571428571,3.07,0.38,4.07,0.54,1.71,0.46,0.4,0.9,135,23,32,Bantamweight 135 lb,168.0,173.0,1.0297619047619049,20,0.7,4.28,0.56,2.94,0.5,1.53,0.53,0.2,0.5,135
50,Drako Rodriguez,Aiemann Zahabi,KO/TKO,1,"February 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,0,1008,25,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,10,0.7,3.37,0.36,4.4,0.58,2.93,0.66,0.7,0.75,135,1559,34,Bantamweight 135 lb,173.0,173.0,1.0,10,0.8,2.82,0.4,3.91,0.65,0.33,0.16,0.0,0.72,135
51,Serghei Spivac,Jared Vanderaa,KO/TKO,2,"February 20, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,1,865,27,Heavyweight 265 lb,190.0,198.0,1.0421052631578946,16,0.8125,3.71,0.49,3.22,0.55,2.72,0.57,0.2,0.7,260,1402,29,Heavyweight 265 lb,193.0,203.0,1.0518134715025906,19,0.631578947368421,4.54,0.48,4.96,0.43,0.28,1.0,0.0,0.2,265
52,Nate Landwehr,Julian Erosa,KO/TKO,1,"February 20, 2021","Las Vegas, Nevada, USA",Featherweight Bout,0,228,33,Featherweight 145 lb,175.0,183.0,1.0457142857142858,19,0.7894736842105263,6.51,0.52,5.96,0.51,0.48,0.5,1.0,0.87,145,2224,32,Featherweight 145 lb,185.0,188.0,1.0162162162162165,37,0.7297297297297297,6.29,0.48,6.51,0.48,1.69,0.52,0.8,0.61,145
53,Shana Dobson,Casey O'Neill,KO/TKO,2,"February 20, 2021","Las Vegas, Nevada, USA",Women's Flyweight Bout,0,2125,32,Flyweight 125 lb,168.0,175.0,1.0416666666666667,9,0.4444444444444444,3.34,0.37,5.2,0.5,0.84,0.5,0.0,0.14,125,643,24,Flyweight 125 lb,168.0,175.0,1.0416666666666667,9,1.0,8.65,0.57,4.68,0.57,2.59,0.44,1.0,0.6,125
54,Alexa Grasso,Maycee Barber,Decision - Unanimous,3,"February 13, 2021","Las Vegas, Nevada, USA",Women's Flyweight Bout,1,2388,28,Flyweight 125 lb,165.0,168.0,1.018181818181818,16,0.8125,4.96,0.43,3.61,0.64,0.28,0.4,0.6,0.6,125,1890,23,Flyweight 125 lb,165.0,165.0,1.0,11,0.8181818181818182,4.67,0.49,3.03,0.54,1.36,0.33,0.2,0.66,125
55,Dhiego Lima,Belal Muhammad,Decision - Unanimous,3,"February 13, 2021","Las Vegas, Nevada, USA",Welterweight Bout,0,163,33,Welterweight 170 lb,188.0,190.0,1.0106382978723405,26,0.6538461538461539,3.12,0.39,3.88,0.58,1.26,0.34,0.6,0.73,170,265,33,Welterweight 170 lb,180.0,183.0,1.0166666666666666,23,0.8695652173913043,4.55,0.43,3.61,0.59,2.2,0.33,0.2,0.91,170
56,Julian Marquez,Maki Pitolo,Submission,3,"February 13, 2021","Las Vegas, Nevada, USA",Middleweight Bout,1,456,31,Middleweight 185 lb,188.0,183.0,0.973404255319149,11,0.8181818181818182,4.2,0.45,3.13,0.55,0.0,0.0,3.2,0.53,185,691,31,Middleweight 185 lb,178.0,190.0,1.0674157303370786,22,0.5909090909090909,4.1,0.44,3.93,0.55,2.24,0.52,0.8,0.5,185
57,Kamaru Usman,Gilbert Burns,KO/TKO,3,"February 13, 2021","Las Vegas, Nevada, USA",UFC Welterweight Title Bout,1,1337,34,Welterweight 170 lb,183.0,193.0,1.0546448087431697,21,0.9523809523809524,4.66,0.52,2.59,0.58,3.0,0.49,0.1,1.0,170,1726,35,Welterweight 170 lb,178.0,180.0,1.0112359550561798,24,0.8333333333333334,3.12,0.46,2.9,0.55,2.16,0.36,0.6,0.5,170
58,Brian Kelleher,Ricky Simon,Decision - Unanimous,3,"February 13, 2021","Las Vegas, Nevada, USA",Featherweight Bout,0,90,35,Featherweight 145 lb,168.0,168.0,1.0,36,0.6666666666666666,3.49,0.41,4.63,0.55,1.87,0.42,0.8,0.6,145,932,29,Bantamweight 135 lb,168.0,175.0,1.0416666666666667,22,0.8636363636363636,3.04,0.43,3.0,0.64,6.76,0.54,0.4,0.72,135
59,Ian Heinisch,Kelvin Gastelum,Decision - Unanimous,3,"February 13, 2021","Las Vegas, Nevada, USA",Middleweight Bout,0,2596,33,Middleweight 185 lb,180.0,183.0,1.0166666666666666,19,0.7368421052631579,3.25,0.5,2.98,0.59,1.02,0.17,0.7,0.59,185,2468,30,Middleweight 185 lb,175.0,180.0,1.0285714285714285,25,0.68,3.53,0.41,3.24,0.57,1.05,0.32,0.1,0.62,185
60,Mallory Martin,Polyana Viana,Submission,1,"February 13, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,0,449,28,Strawweight 115 lb,163.0,160.0,0.98159509202454,12,0.5833333333333334,4.42,0.48,6.64,0.55,2.28,0.43,0.3,0.25,115,1375,29,Strawweight 115 lb,165.0,170.0,1.0303030303030305,16,0.75,3.71,0.41,3.01,0.54,1.12,0.33,3.4,0.5,115
61,Anthony Hernandez,Rodolfo Vieira,Submission,2,"February 13, 2021","Las Vegas, Nevada, USA",Middleweight Bout,1,2578,28,Middleweight 185 lb,183.0,190.0,1.0382513661202186,10,0.8,4.92,0.55,5.09,0.47,3.76,0.66,1.9,0.7,185,1370,32,Middleweight 185 lb,183.0,185.0,1.010928961748634,9,0.8888888888888888,2.6,0.49,4.04,0.57,5.77,0.52,1.4,1.0,185
