name,index,Age,weight_class,height_cm,reach_cm,ape_index,Number_of_fights,win_percentage,O_SLpM,O_StrPct,D_SApM,D_StrPct,O_TdAvg,O_TdAcc,O_SubAvg,D_TdPct,weight
Brandon Royval,946,29,Flyweight 125 lb,175.0,173.0,0.9885714285714285,19,0.6842105263157895,3.16,0.36,2.57,0.48,0.73,1.0,2.2,0.39,125
Phil Rowe,947,31,Welterweight 170 lb,190.0,203.0,1.068421052631579,12,0.75,4.3,0.56,3.94,0.52,0.72,0.33,0.0,0.47,170
Ronda Rousey,948,35,Bantamweight 135 lb,170.0,168.0,0.9882352941176471,14,0.8571428571428571,4.17,0.52,4.14,0.44,6.26,0.68,4.8,0.5,135
Khalil Rountree Jr.,949,32,Light Heavyweight 205 lb,185.0,193.0,1.0432432432432432,15,0.6666666666666666,3.24,0.38,3.58,0.49,0.0,0.0,0.2,0.5,205
Ben Rothwell,950,40,Heavyweight 265 lb,193.0,198.0,1.0259067357512954,53,0.7358490566037735,3.71,0.42,4.63,0.47,0.68,0.34,0.4,0.7,265
Kristian Rothaermel,951,50,Light Heavyweight 205 lb,183.0,183.0,1.0,7,0.5714285714285714,0.75,0.5,2.49,0.41,0.0,0.0,0.0,0.0,205
Nick Rossborough,952,40,Light Heavyweight 205 lb,196.0,196.0,1.0,46,0.5652173913043478,2.8,0.35,4.33,0.35,0.0,0.0,0.0,1.0,205
Jared Rosholt,953,35,Heavyweight 265 lb,188.0,190.0,1.0106382978723405,18,0.7777777777777778,2.08,0.46,1.52,0.59,1.83,0.41,0.1,0.66,265
Jake Rosholt,954,40,Middleweight 185 lb,185.0,185.0,1.0,17,0.7058823529411765,2.68,0.53,2.33,0.49,6.51,0.68,1.8,0.0,185
Hilarie Rose,955,29,Strawweight 115 lb,160.0,160.0,1.0,6,0.6666666666666666,2.33,0.33,6.13,0.44,0.0,0.0,0.0,1.0,115
Jacob Rosales,956,26,Lightweight 155 lb,180.0,188.0,1.0444444444444445,20,0.65,7.19,0.46,10.66,0.44,1.12,0.18,0.6,0.5,155
Karol Rosa,957,27,Bantamweight 135 lb,165.0,170.0,1.0303030303030303,18,0.8333333333333334,7.88,0.54,5.17,0.5,1.5,0.5,0.0,0.91,135
Charles Rosa,958,35,Featherweight 145 lb,175.0,175.0,1.0,21,0.6666666666666666,3.05,0.36,3.62,0.48,1.64,0.37,1.0,0.38,145
Aaron Rosa,959,38,Light Heavyweight 205 lb,193.0,196.0,1.0155440414507773,24,0.75,4.03,0.47,4.41,0.45,0.36,0.33,0.4,0.85,205
Jacob Silva,960,34,Flyweight 125 lb,165.0,170.0,1.0303030303030303,10,0.6,4.17,0.44,4.92,0.56,1.51,1.0,0.0,0.66,125
Gabriel Silva,961,27,Bantamweight 135 lb,168.0,180.0,1.0714285714285714,10,0.8,1.3,0.34,3.47,0.45,1.5,0.25,0.5,0.38,135
Bruno Silva,962,32,Middleweight 185 lb,183.0,188.0,1.0273224043715847,28,0.7857142857142857,5.74,0.6,2.87,0.32,0.0,0.0,0.0,0.68,185
Bruno Silva 125,963,31,Flyweight 125 lb,163.0,165.0,1.0122699386503067,19,0.631578947368421,2.98,0.46,3.23,0.58,2.89,0.31,0.0,0.64,125
Dayana Silva,964,31,Bantamweight 135 lb,170.0,170.0,1.0,11,0.6363636363636364,6.33,0.51,5.93,0.57,0.0,0.0,0.0,0.42,135
Felipe Silva,965,37,Lightweight 155 lb,183.0,196.0,1.0710382513661203,10,0.8,5.4,0.5,1.8,0.59,1.0,1.0,0.0,0.71,155
Joaquim Silva,966,33,Lightweight 155 lb,173.0,175.0,1.0115606936416186,15,0.7333333333333333,3.9,0.37,4.55,0.56,0.23,0.5,0.7,0.64,155
Rafael Silva,967,36,Bantamweight 135 lb,170.0,170.0,1.0,34,0.8235294117647058,0.67,0.5,0.73,0.67,0.0,0.0,1.0,0.25,135
Wagner Silva,968,35,Welterweight 170 lb,183.0,183.0,1.0,9,0.6666666666666666,1.69,0.29,2.87,0.65,0.0,0.0,0.0,0.58,170
Claudio Silva,969,39,Welterweight 170 lb,180.0,180.0,1.0,17,0.8235294117647058,2.81,0.41,3.0,0.44,2.63,0.25,1.3,0.5,170
Leandro Silva,970,36,Lightweight 155 lb,175.0,183.0,1.0457142857142858,27,0.7407407407407407,2.39,0.48,2.08,0.63,1.76,0.37,0.4,0.65,155
Erick Silva,971,37,Welterweight 170 lb,183.0,188.0,1.0273224043715847,28,0.6785714285714286,2.5,0.48,4.18,0.49,0.85,0.35,1.4,0.56,170
Fabio Silva,972,39,Light Heavyweight 205 lb,180.0,180.0,1.0,9,0.1111111111111111,0.09,0.11,5.9,0.38,0.0,0.0,0.0,0.0,205
Antonio Silva,973,42,Heavyweight 265 lb,193.0,208.0,1.077720207253886,32,0.59375,2.89,0.45,3.09,0.5,0.82,0.29,0.8,0.66,264
Sidney Silva,974,50,Welterweight 170 lb,190.0,190.0,1.0,12,0.6666666666666666,2.86,0.65,3.3,0.34,3.3,1.0,0.0,0.0,170
Jean Silva,975,44,Welterweight 170 lb,168.0,168.0,1.0,34,0.5588235294117647,0.73,0.22,2.93,0.52,0.0,0.0,0.0,0.0,160
Paulo Cesar Silva,976,58,Super Heavyweight,226.0,226.0,1.0,8,0.25,0.4,0.15,2.72,0.47,0.42,1.0,0.4,0.16,385
Thiago Silva,977,39,Light Heavyweight 205 lb,188.0,188.0,1.0,25,0.76,3.92,0.5,2.55,0.67,1.03,0.47,0.7,0.7,205
Wanderlei Silva,978,45,Light Heavyweight 205 lb,180.0,188.0,1.0444444444444445,49,0.7142857142857143,2.79,0.4,2.19,0.6,0.97,0.53,0.6,0.62,205
Anderson Silva,979,46,Middleweight 185 lb,188.0,196.0,1.0425531914893618,45,0.7555555555555555,3.05,0.61,2.05,0.6,0.5,0.77,0.8,0.69,185
Assuerio Silva,980,47,Heavyweight 265 lb,178.0,178.0,1.0,24,0.6666666666666666,1.42,0.46,4.2,0.54,2.66,0.34,1.8,0.25,241
Xavier Siller,981,27,Flyweight 125 lb,165.0,165.0,1.0,10,0.5,1.02,0.36,1.53,0.57,3.83,1.0,0.0,0.0,125
Siala Siliga,982,51,Super Heavyweight,185.0,185.0,1.0,17,0.7058823529411765,1.08,0.26,1.96,0.5,1.47,0.5,0.0,0.8,290
Steven Siler,983,35,Featherweight 145 lb,180.0,178.0,0.9888888888888889,45,0.6444444444444445,3.21,0.41,2.96,0.54,0.47,0.21,1.6,0.55,145
Kiril Sidelnikov,984,33,Heavyweight 265 lb,180.0,180.0,1.0,15,0.7333333333333333,2.87,0.28,4.48,0.61,0.0,0.0,0.0,0.0,230
George Roop,985,40,Bantamweight 135 lb,185.0,183.0,0.9891891891891892,29,0.5172413793103449,3.43,0.34,2.47,0.6,1.05,0.57,0.1,0.59,135
Jesse Ronson,986,36,Lightweight 155 lb,178.0,178.0,1.0,31,0.6774193548387096,3.54,0.49,2.99,0.59,0.63,0.4,0.6,0.61,155
Rongzhu,987,22,Lightweight 155 lb,175.0,180.0,1.0285714285714285,22,0.8181818181818182,4.33,0.53,4.63,0.51,4.56,0.75,0.0,1.0,155
Juancamilo Ronderos,988,27,Flyweight 125 lb,163.0,163.0,1.0,5,0.8,4.78,0.34,3.91,0.67,0.0,0.0,0.0,0.0,125
Mara Romero Borella,989,35,Flyweight 125 lb,168.0,175.0,1.0416666666666667,21,0.5714285714285714,2.54,0.37,2.48,0.71,1.83,0.44,0.2,0.66,125
Anthony Romero,990,25,Lightweight 155 lb,180.0,178.0,0.9888888888888889,8,1.0,5.87,0.52,4.0,0.65,2.0,0.22,0.0,1.0,155
Yoel Romero,991,44,Middleweight 185 lb,183.0,185.0,1.010928961748634,18,0.7222222222222222,3.44,0.49,3.05,0.6,1.57,0.3,0.0,0.78,185
Ricardo Romero,992,43,Light Heavyweight 205 lb,183.0,193.0,1.0546448087431695,14,0.7857142857142857,2.17,0.55,4.77,0.46,1.63,0.1,3.3,1.0,205
Alexandr Romanov,993,31,Heavyweight 265 lb,188.0,190.0,1.0106382978723405,15,1.0,4.26,0.52,1.43,0.43,5.58,0.65,1.3,0.2,262
Tim Roman,994,36,Welterweight 170 lb,185.0,185.0,1.0,7,0.42857142857142855,0.6,0.4,2.4,0.4,1.0,1.0,0.0,0.16,170
Jared Rollins,995,45,Welterweight 170 lb,175.0,175.0,1.0,12,0.6666666666666666,3.33,0.57,2.41,0.39,2.5,0.5,1.2,0.5,170
Shane Roller,996,42,Lightweight 155 lb,178.0,183.0,1.0280898876404494,18,0.6111111111111112,2.04,0.34,2.65,0.6,2.46,0.33,1.9,0.42,155
Marcelo Rojo,997,33,Bantamweight 135 lb,173.0,180.0,1.0404624277456647,25,0.64,4.9,0.36,7.07,0.51,0.57,0.5,0.0,0.66,135
Max Rohskopf,998,27,Lightweight 155 lb,185.0,180.0,0.972972972972973,6,0.8333333333333334,1.7,0.31,5.8,0.42,3.0,0.33,1.5,0.0,155
Brian Rogers,999,38,Middleweight 185 lb,180.0,180.0,1.0,23,0.6086956521739131,4.79,0.38,5.76,0.58,1.22,0.5,0.6,1.0,185
Brett Rogers,1000,41,Heavyweight 265 lb,196.0,206.0,1.0510204081632653,27,0.6296296296296297,3.17,0.44,3.2,0.46,0.0,0.0,0.0,0.58,265
Marcos Rogerio de Lima,1001,36,Heavyweight 265 lb,185.0,190.0,1.027027027027027,28,0.6785714285714286,3.39,0.54,2.12,0.54,1.14,0.66,0.6,0.47,253
