name,index,Age,weight_class,height_cm,reach_cm,ape_index,Number_of_fights,win_percentage,O_SLpM,O_StrPct,D_SApM,D_StrPct,O_TdAvg,O_TdAcc,O_SubAvg,D_TdPct,weight
Hunter Azure,1,30,Featherweight 145 lb,173.0,175.0,1.0115606936416186,11,0.8181818181818182,3.92,0.53,2.08,0.58,1.97,0.34,1.3,0.67,145
Virgil Zwicker,2,39,Light Heavyweight 205 lb,188.0,188.0,1.0,22,0.6818181818181818,3.34,0.48,4.87,0.39,1.31,0.3,0.0,0.5,205
Gilbert Yvel,3,45,Heavyweight 265 lb,188.0,196.0,1.0425531914893618,56,0.6964285714285714,1.05,0.47,1.78,0.5,0.0,0.0,1.0,0.25,225
Xie Bin,4,24,Featherweight 145 lb,178.0,183.0,1.0280898876404494,11,0.7272727272727273,2.2,0.38,2.6,0.63,4.0,0.44,0.0,0.0,145
Wu Yanan,5,25,Bantamweight 135 lb,173.0,168.0,0.9710982658959537,15,0.7333333333333333,4.51,0.45,4.82,0.51,0.61,0.22,0.3,0.66,135
Igor Vovchanchyn,6,48,Light Heavyweight 205 lb,173.0,173.0,1.0,65,0.8461538461538461,1.59,0.49,0.97,0.63,1.19,0.66,0.5,0.5,205
Darren Uyenoyama,7,42,Flyweight 125 lb,168.0,165.0,0.9821428571428571,16,0.625,1.34,0.39,2.21,0.66,1.42,0.33,0.7,0.35,125
Marcin Tybura,8,36,Heavyweight 265 lb,190.0,198.0,1.0421052631578946,29,0.7586206896551724,3.65,0.49,3.44,0.54,1.54,0.32,0.1,0.82,249
Austin Tweedy,9,31,Lightweight 155 lb,175.0,175.0,1.0,10,0.8,4.29,0.66,6.43,0.0,0.0,0.0,0.0,0.0,155
Tim Sylvia,10,46,Heavyweight 265 lb,203.0,203.0,1.0,41,0.7560975609756098,4.23,0.41,2.61,0.61,0.11,1.0,0.1,0.75,265
Christian Quinonez,11,25,Bantamweight 135 lb,170.0,178.0,1.0470588235294118,19,0.8421052631578947,5.07,0.41,5.2,0.6,1.0,1.0,0.0,1.0,135
Mike Pyle,12,46,Welterweight 170 lb,183.0,188.0,1.0273224043715847,42,0.6428571428571429,2.74,0.45,2.84,0.6,1.8,0.35,1.5,0.7,170
Alptekin Ozkilic,13,35,Flyweight 125 lb,165.0,165.0,1.0,14,0.6428571428571429,3.81,0.32,5.72,0.59,4.21,0.58,0.0,0.75,125
Kennedy Nzechukwu,14,29,Light Heavyweight 205 lb,196.0,211.0,1.0765306122448979,11,0.8181818181818182,4.86,0.42,5.04,0.49,0.0,0.0,0.0,0.8,205
Chris Lytle,15,47,Welterweight 170 lb,180.0,173.0,0.9611111111111111,54,0.5740740740740741,3.76,0.45,3.03,0.58,0.7,0.55,2.4,0.55,170
Mike Kyle,16,41,Light Heavyweight 205 lb,193.0,196.0,1.0155440414507773,37,0.5945945945945946,3.93,0.51,3.35,0.49,1.33,0.62,0.8,0.5,205
Guram Kutateladze,17,30,Lightweight 155 lb,180.0,183.0,1.0166666666666666,14,0.8571428571428571,2.47,0.43,3.47,0.58,0.0,0.0,0.0,0.68,155
Eldari Kurtanidze,18,49,Heavyweight 265 lb,168.0,168.0,1.0,1,0.0,0.47,0.2,3.72,0.6,0.0,0.0,0.0,0.0,235
Tsuyoshi Kurihara,19,48,Middleweight 185 lb,178.0,178.0,1.0,20,0.5,0.0,0.0,12.0,0.5,0.0,0.0,0.0,0.0,185
Ramazan Kuramagomedov,20,25,Welterweight 170 lb,185.0,185.0,1.0,8,1.0,11.67,0.67,9.13,0.54,1.0,0.14,0.0,0.0,170
Korey Kuppe,21,33,Welterweight 170 lb,196.0,196.0,1.0,12,0.6666666666666666,0.73,0.73,1.33,0.31,0.0,0.0,1.0,0.69,170
Leo Kuntz,22,38,Lightweight 155 lb,178.0,178.0,1.0,23,0.782608695652174,1.68,0.32,3.8,0.45,1.99,0.25,0.7,0.33,155
Yana Kunitskaya,23,32,Bantamweight 135 lb,168.0,173.0,1.0297619047619047,20,0.7,4.28,0.56,2.94,0.5,1.53,0.53,0.2,0.5,135
Kiichi Kunimoto,24,40,Welterweight 170 lb,178.0,180.0,1.0112359550561798,27,0.6666666666666666,1.87,0.44,3.92,0.41,1.59,0.2,0.3,0.28,170
Rizvan Kuniev,25,29,Heavyweight 265 lb,193.0,193.0,1.0,14,0.7857142857142857,7.09,0.73,1.55,0.51,4.09,0.75,0.0,0.0,240
Aleksei Kunchenko,26,37,Welterweight 170 lb,173.0,178.0,1.0289017341040463,22,0.9090909090909091,3.67,0.44,2.83,0.63,0.25,0.33,0.0,0.8,170
Anton Kuivanen,27,37,Lightweight 155 lb,173.0,183.0,1.0578034682080926,34,0.7058823529411765,2.27,0.38,1.63,0.67,1.2,1.0,0.4,0.71,155
Michael Kuiper,28,32,Middleweight 185 lb,183.0,185.0,1.010928961748634,20,0.75,3.28,0.54,3.62,0.54,2.3,0.55,0.0,0.79,185
Mariusz Ksiazkiewicz,29,32,Middleweight 185 lb,190.0,190.0,1.0,9,0.8888888888888888,0.93,0.45,3.4,0.39,4.0,1.0,2.0,0.0,185
Nikita Krylov,30,30,Light Heavyweight 205 lb,190.0,196.0,1.0315789473684212,35,0.7714285714285715,4.33,0.56,2.52,0.43,1.34,0.33,1.3,0.55,205
Pascal Krauss,31,34,Welterweight 170 lb,185.0,185.0,1.0,13,0.8461538461538461,5.45,0.47,3.88,0.59,1.53,0.5,0.9,0.6,170
James Krause,32,35,Welterweight 170 lb,188.0,185.0,0.9840425531914894,37,0.7567567567567568,4.79,0.49,4.11,0.61,0.96,0.18,0.9,0.59,170
Derrick Krantz,33,34,Welterweight 170 lb,178.0,183.0,1.0280898876404494,34,0.6470588235294118,2.07,0.37,4.03,0.5,3.18,0.5,0.8,0.0,170
Karolina Kowalkiewicz,34,36,Strawweight 115 lb,160.0,163.0,1.01875,19,0.631578947368421,5.16,0.39,5.56,0.56,0.19,0.22,0.1,0.74,115
Naoyuki Kotani,35,40,Lightweight 155 lb,173.0,168.0,0.9710982658959537,55,0.6181818181818182,1.02,0.31,2.89,0.5,0.83,0.16,0.8,0.46,155
Josh Koscheck,36,44,Welterweight 170 lb,178.0,185.0,1.0393258426966292,28,0.6071428571428571,1.79,0.36,2.27,0.63,2.46,0.48,0.4,0.64,170
Andrey Koreshkov,37,31,Welterweight 170 lb,183.0,183.0,1.0,21,0.9047619047619048,2.84,0.39,1.92,0.63,4.8,0.53,0.0,0.0,170
Bruno Korea,38,30,Bantamweight 135 lb,168.0,165.0,0.9821428571428571,10,0.7,2.12,0.34,3.96,0.42,0.0,0.0,0.0,0.25,135
Roman Kopylov,39,30,Middleweight 185 lb,183.0,190.0,1.0382513661202186,10,0.8,2.72,0.42,3.93,0.55,0.52,0.33,0.0,0.83,185
Andrei Kopylov,40,56,Heavyweight 265 lb,188.0,188.0,1.0,17,0.35294117647058826,0.33,0.66,4.31,0.4,0.0,0.0,0.0,0.0,265
Cheick Kongo,41,46,Heavyweight 265 lb,193.0,208.0,1.077720207253886,39,0.6923076923076923,3.33,0.56,1.28,0.54,2.3,0.56,0.2,0.52,240
Syuri Kondo,42,33,Strawweight 115 lb,163.0,168.0,1.030674846625767,9,0.6666666666666666,5.4,0.44,7.22,0.58,0.0,0.0,0.3,0.83,115
Yuki Kondo,43,46,Middleweight 185 lb,180.0,180.0,1.0,102,0.5882352941176471,1.14,0.42,2.57,0.51,0.76,0.41,0.5,0.37,183
John Kolosci,44,47,Middleweight 185 lb,180.0,180.0,1.0,24,0.625,0.21,0.2,0.85,0.5,0.0,0.0,0.0,0.0,185
Kaloyan Kolev,45,29,Light Heavyweight 205 lb,188.0,185.0,0.9840425531914894,11,0.9090909090909091,1.12,0.45,4.49,0.42,10.11,0.6,0.0,0.0,205
Tsuyoshi Kohsaka,46,52,Heavyweight 265 lb,180.0,180.0,1.0,48,0.5625,1.88,0.38,4.41,0.54,1.32,0.2,0.4,0.33,225
Charlie Kohler,47,45,Lightweight 155 lb,175.0,175.0,1.0,13,0.6153846153846154,0.81,0.33,4.31,0.46,0.0,0.0,4.0,0.0,155
Erik Koch,48,33,Welterweight 170 lb,178.0,180.0,1.0112359550561798,22,0.7272727272727273,2.33,0.42,2.82,0.47,1.02,0.42,1.0,0.81,170
Kelly Kobold,49,39,Bantamweight 135 lb,168.0,168.0,1.0,23,0.8260869565217391,2.33,0.21,4.11,0.59,1.67,0.11,0.0,0.0,135
Isao Kobayashi,50,33,Featherweight 145 lb,173.0,173.0,1.0,29,0.7241379310344828,1.01,0.33,1.66,0.45,2.17,1.0,0.0,1.0,145
William Knight,51,33,Light Heavyweight 205 lb,178.0,185.0,1.0393258426966292,14,0.7857142857142857,3.18,0.6,3.06,0.33,2.22,0.42,0.2,0.45,205
Jason Knight,52,29,Featherweight 145 lb,178.0,180.0,1.0112359550561798,25,0.8,2.95,0.33,3.02,0.51,1.31,0.31,1.7,0.47,145
Kevin Knabjian,53,37,Welterweight 170 lb,178.0,178.0,1.0,20,0.6,0.0,0.0,15.56,0.22,0.0,0.0,0.0,1.0,170
Drakkar Klose,54,33,Lightweight 155 lb,175.0,178.0,1.0171428571428571,14,0.7857142857142857,3.89,0.53,3.64,0.53,1.56,0.3,0.0,0.68,155
Seth Kleinbeck,55,48,Middleweight 185 lb,188.0,188.0,1.0,12,0.6666666666666666,2.55,0.33,2.42,0.4,0.98,0.25,0.0,0.9,185
Ludovit Klein,56,27,Featherweight 145 lb,170.0,183.0,1.076470588235294,21,0.8095238095238095,3.35,0.52,4.58,0.45,2.1,0.44,0.0,0.5,145
Satoru Kitaoka,57,42,Lightweight 155 lb,168.0,168.0,1.0,63,0.6349206349206349,0.68,0.33,2.15,0.45,0.62,0.1,2.1,0.27,154
Justine Kish,58,33,Flyweight 125 lb,165.0,163.0,0.9878787878787879,11,0.6363636363636364,4.51,0.48,4.59,0.57,0.87,0.33,0.1,0.5,125
Kamuela Kirk,59,27,Featherweight 145 lb,178.0,190.0,1.0674157303370786,16,0.75,3.27,0.52,5.8,0.3,1.18,0.4,1.8,0.58,145
Kyle Kingsbury,60,39,Light Heavyweight 205 lb,193.0,201.0,1.0414507772020725,17,0.6470588235294118,2.97,0.4,3.81,0.51,2.64,0.41,0.0,0.52,205
Mike King,61,38,Middleweight 185 lb,190.0,190.0,1.0,6,0.8333333333333334,4.44,0.58,1.29,0.72,1.75,0.25,3.5,0.4,185
Taiei Kin,62,51,Middleweight 185 lb,180.0,180.0,1.0,9,0.6666666666666666,2.71,0.6,1.33,0.52,0.0,0.0,0.0,0.55,185
Dustin Kimura,63,32,Bantamweight 135 lb,170.0,180.0,1.0588235294117647,14,0.7857142857142857,1.33,0.21,3.82,0.51,0.93,0.37,2.2,0.5,135
Rob Kimmons,64,41,Middleweight 185 lb,178.0,185.0,1.0393258426966292,34,0.7352941176470589,1.86,0.48,4.79,0.38,2.08,0.46,2.4,0.25,185
Jeremy Kimball,65,31,Light Heavyweight 205 lb,183.0,183.0,1.0,23,0.6521739130434783,2.81,0.46,3.84,0.49,1.41,0.2,0.0,0.5,205
Ji Yeon Kim,66,32,Flyweight 125 lb,170.0,183.0,1.076470588235294,15,0.6,5.04,0.34,5.47,0.56,0.0,0.0,0.0,0.4,125
Jong Man Kim,67,44,Featherweight 145 lb,170.0,170.0,1.0,37,0.6216216216216216,1.33,0.21,3.0,0.6,0.0,0.0,0.0,0.0,139
Min Soo Kim,68,47,Heavyweight 265 lb,185.0,185.0,1.0,10,0.3,0.87,1.0,3.48,0.2,0.0,0.0,0.0,0.0,255
Dong Hyun Kim,69,40,Welterweight 170 lb,188.0,193.0,1.0265957446808511,27,0.8148148148148148,2.12,0.49,1.89,0.58,2.93,0.43,0.6,0.71,170
Jacob Kilburn,70,26,Featherweight 145 lb,175.0,183.0,1.0457142857142858,12,0.6666666666666666,2.56,0.33,6.78,0.35,0.51,0.05,0.5,0.2,145
Sanae Kikuta,71,50,Light Heavyweight 205 lb,175.0,175.0,1.0,43,0.7209302325581395,0.7,0.45,0.9,0.52,1.6,0.63,1.8,0.25,200
Katsunori Kikuno,72,40,Featherweight 145 lb,173.0,168.0,0.9710982658959537,34,0.7058823529411765,2.64,0.4,2.47,0.61,1.88,0.75,0.8,0.76,145
Akira Kikuchi,73,43,Lightweight 155 lb,173.0,173.0,1.0,20,0.8,3.67,0.56,0.4,0.14,2.0,0.4,0.0,1.0,155
Pannie Kianzad,74,30,Bantamweight 135 lb,170.0,168.0,0.9882352941176471,22,0.7272727272727273,5.34,0.49,4.35,0.53,0.31,0.22,0.1,0.77,135
Aliaskhab Khizriev,75,31,Middleweight 185 lb,175.0,188.0,1.0742857142857143,13,1.0,6.0,0.83,3.6,0.66,18.0,0.5,18.0,0.0,185
Alfred Khashakyan,76,33,Bantamweight 135 lb,173.0,178.0,1.0289017341040463,11,0.7272727272727273,6.14,0.42,6.38,0.4,3.54,0.25,0.0,0.0,135
Sergei Kharitonov,77,41,Heavyweight 265 lb,183.0,183.0,1.0,32,0.8125,3.9,0.44,3.03,0.54,1.16,0.53,1.0,0.7,245
Sergey Khandozhko,78,29,Welterweight 170 lb,185.0,188.0,1.0162162162162163,34,0.7941176470588235,2.83,0.42,1.7,0.6,0.5,0.16,0.0,0.64,170
Rustam Khabilov,79,35,Lightweight 155 lb,173.0,185.0,1.069364161849711,28,0.8571428571428571,1.98,0.34,2.16,0.65,3.95,0.41,0.1,0.61,155
Will Kerr,80,39,Lightweight 155 lb,178.0,175.0,0.9831460674157303,12,0.75,1.91,0.42,6.22,0.33,0.0,0.0,14.3,0.0,155
Mark Kerr,81,53,Super Heavyweight,190.0,190.0,1.0,26,0.5769230769230769,0.28,0.41,0.89,0.28,2.92,0.77,0.4,0.0,266
Casey Kenney,82,30,Bantamweight 135 lb,170.0,173.0,1.0176470588235293,21,0.7619047619047619,4.85,0.42,4.67,0.58,1.09,0.35,0.4,0.61,135
Jeremy Kennedy,83,29,Featherweight 145 lb,180.0,180.0,1.0,12,0.9166666666666666,2.22,0.46,2.58,0.47,5.73,0.52,0.0,0.66,145
Steve Kennedy,84,39,Welterweight 170 lb,180.0,180.0,1.0,32,0.75,2.28,0.35,5.52,0.45,2.51,0.33,0.0,0.0,170
Tim Kennedy,85,42,Middleweight 185 lb,180.0,188.0,1.0444444444444445,24,0.75,2.78,0.47,1.84,0.62,2.58,0.35,0.7,0.7,185
Daniel Kelly,86,44,Middleweight 185 lb,183.0,178.0,0.9726775956284153,17,0.7647058823529411,3.62,0.38,4.64,0.61,1.86,0.34,0.3,0.78,185
Paul Kelly,87,37,Lightweight 155 lb,175.0,178.0,1.0171428571428571,19,0.7368421052631579,3.22,0.37,2.61,0.59,1.34,0.6,1.5,0.3,155
Tony Kelley,88,35,Bantamweight 135 lb,175.0,178.0,1.0171428571428571,10,0.8,5.58,0.47,4.43,0.45,0.0,0.0,1.5,0.52,135
Mayana Kellem,89,40,Bantamweight 135 lb,165.0,165.0,1.0,8,0.875,1.94,0.22,2.9,0.62,0.0,0.0,0.0,0.0,135
Brian Kelleher,90,35,Featherweight 145 lb,168.0,168.0,1.0,36,0.6666666666666666,3.49,0.41,4.63,0.55,1.87,0.42,0.8,0.6,145
Chris Kelades,91,41,Flyweight 125 lb,170.0,173.0,1.0176470588235293,12,0.75,2.4,0.43,2.64,0.48,1.04,0.18,0.3,0.53,125
CJ Keith,92,35,Lightweight 155 lb,183.0,183.0,1.0,12,0.6666666666666666,0.86,0.5,1.82,0.5,0.0,0.0,0.0,0.62,155
Julie Kedzie,93,40,Bantamweight 135 lb,165.0,165.0,1.0,29,0.5517241379310345,2.9,0.36,3.18,0.46,1.14,0.23,0.0,0.78,135
Ryo Kawamura,94,40,Light Heavyweight 205 lb,180.0,180.0,1.0,31,0.5806451612903226,0.6,0.16,3.93,0.39,0.0,0.0,0.0,0.06,205
Tatsuya Kawajiri,95,43,Featherweight 145 lb,170.0,175.0,1.0294117647058822,49,0.7346938775510204,2.04,0.44,2.01,0.5,3.63,0.48,1.1,0.63,145
Canaan Kawaihae,96,24,Featherweight 145 lb,183.0,180.0,0.9836065573770492,8,0.75,2.83,0.51,4.59,0.36,0.0,0.0,0.0,1.0,145
Yusuke Kawaguchi,97,41,Heavyweight 265 lb,183.0,183.0,1.0,30,0.6,2.87,0.47,3.93,0.5,0.0,0.0,0.0,0.72,255
Sarah Kaufman,98,36,Bantamweight 135 lb,165.0,168.0,1.018181818181818,22,0.8181818181818182,6.65,0.46,4.0,0.62,0.38,0.57,0.0,0.81,135
Calvin Kattar,99,33,Featherweight 145 lb,180.0,183.0,1.0166666666666666,28,0.8214285714285714,5.19,0.41,7.64,0.52,0.51,0.29,0.1,0.89,145
Brad Katona,100,30,Bantamweight 135 lb,168.0,163.0,0.9702380952380952,10,0.8,3.33,0.51,2.98,0.57,1.25,0.22,0.0,0.47,135
Hisaki Kato,101,39,Middleweight 185 lb,183.0,183.0,1.0,10,0.8,2.8,0.48,1.72,0.68,1.62,1.0,0.0,0.0,185
Yusuke Kasuya,102,32,Lightweight 155 lb,170.0,170.0,1.0,12,0.75,2.17,0.44,4.34,0.48,1.36,0.33,0.0,0.0,155
Nadia Kassem,103,26,Flyweight 125 lb,165.0,168.0,1.018181818181818,7,0.7142857142857143,3.13,0.41,4.48,0.48,0.46,0.33,2.8,0.4,125
Impa Kasanganay,104,28,Welterweight 170 lb,180.0,190.0,1.0555555555555556,11,0.8181818181818182,4.96,0.48,3.66,0.58,1.75,0.58,0.2,0.66,170
Alex Karalexis,105,44,Lightweight 155 lb,173.0,168.0,0.9710982658959537,16,0.625,2.57,0.42,2.39,0.54,2.7,0.45,0.9,0.86,155
Georgi Karakhanyan,106,36,Featherweight 145 lb,173.0,173.0,1.0,34,0.7647058823529411,4.49,0.39,5.0,0.54,1.41,0.5,1.9,0.33,145
Kai Kara-France,107,28,Flyweight 125 lb,163.0,175.0,1.0736196319018405,32,0.71875,5.09,0.4,3.79,0.65,0.51,0.23,0.0,0.87,125
David Kaplan,108,42,Lightweight 155 lb,170.0,170.0,1.0,7,0.42857142857142855,2.88,0.46,4.32,0.67,4.88,0.43,0.7,0.0,155
Manel Kape,109,28,Flyweight 125 lb,165.0,173.0,1.0484848484848486,23,0.7391304347826086,4.69,0.53,4.59,0.51,0.77,0.28,0.0,0.8,125
Kyung Ho Kang,110,34,Bantamweight 135 lb,175.0,185.0,1.0571428571428572,26,0.6538461538461539,2.56,0.45,2.36,0.57,2.23,0.59,0.9,0.68,135
Denis Kang,111,44,Middleweight 185 lb,180.0,196.0,1.0888888888888888,53,0.660377358490566,2.27,0.35,1.65,0.67,2.51,0.65,1.2,0.38,185
Masanori Kanehara,112,39,Bantamweight 135 lb,170.0,170.0,1.0,43,0.6046511627906976,1.88,0.49,1.63,0.62,1.44,0.5,0.9,0.63,135
Hiromitsu Kanehara,113,51,Light Heavyweight 205 lb,178.0,178.0,1.0,51,0.37254901960784315,0.76,0.22,4.39,0.4,0.0,0.0,0.4,0.4,200
Bharat Kandare,114,34,Bantamweight 135 lb,170.0,183.0,1.076470588235294,8,0.625,0.7,0.1,1.88,0.72,0.0,0.0,0.0,0.0,135
Martin Kampmann,115,39,Welterweight 170 lb,183.0,183.0,1.0,27,0.7407407407407407,3.22,0.42,3.28,0.62,1.86,0.41,2.0,0.78,170
Kai Kamaka,116,27,Featherweight 145 lb,170.0,175.0,1.0294117647058822,13,0.6153846153846154,4.96,0.57,5.29,0.55,1.93,0.58,0.3,0.52,145
Saidyokub Kakhramonov,117,26,Bantamweight 135 lb,173.0,175.0,1.0115606936416186,11,0.8181818181818182,2.46,0.55,0.82,0.61,2.05,0.28,4.1,0.87,135
Sirwan Kakai,118,32,Bantamweight 135 lb,165.0,165.0,1.0,17,0.7058823529411765,3.57,0.41,4.63,0.62,4.0,0.42,0.0,0.83,135
Oron Kahlon,119,37,Bantamweight 135 lb,173.0,178.0,1.0289017341040463,17,0.9411764705882353,0.85,0.37,4.93,0.36,0.0,0.0,0.0,0.4,135
Emily Kagan,120,40,Strawweight 115 lb,160.0,160.0,1.0,6,0.5,2.6,0.36,5.29,0.38,1.86,0.14,0.0,0.5,115
Tucker Lutz,121,27,Featherweight 145 lb,173.0,183.0,1.0578034682080926,14,0.8571428571428571,4.1,0.51,3.02,0.44,2.0,0.66,0.2,0.7,145
Travis Lutter,122,48,Middleweight 185 lb,180.0,190.0,1.0555555555555556,16,0.625,0.41,0.32,2.42,0.42,1.95,0.24,0.7,0.3,185
Vicente Luque,123,30,Welterweight 170 lb,180.0,190.0,1.0555555555555556,29,0.7241379310344828,5.65,0.54,5.67,0.52,0.64,0.5,1.0,0.64,170
Alexandru Lungu,124,47,Super Heavyweight,183.0,183.0,1.0,18,0.7777777777777778,3.61,0.66,7.22,0.4,0.0,0.0,0.0,0.0,385
Dalcha Lungiambula,125,34,Middleweight 185 lb,173.0,193.0,1.115606936416185,14,0.7857142857142857,2.97,0.43,3.91,0.54,2.05,0.46,0.0,0.75,185
Mike Lullo,126,42,Featherweight 145 lb,173.0,173.0,1.0,11,0.7272727272727273,2.48,0.36,4.84,0.4,1.18,0.11,0.6,0.0,145
Duane Ludwig,127,43,Welterweight 170 lb,178.0,178.0,1.0,35,0.6,4.62,0.44,3.05,0.57,0.43,0.25,0.1,0.59,170
Joe Lowry,128,32,Lightweight 155 lb,180.0,185.0,1.0277777777777777,11,0.8181818181818182,3.97,0.34,4.25,0.63,0.0,0.0,0.0,0.0,155
Waylon Lowe,129,41,Featherweight 145 lb,170.0,170.0,1.0,23,0.6956521739130435,1.88,0.55,2.4,0.53,4.47,0.55,0.3,0.83,145
Ian Loveland,130,38,Featherweight 145 lb,173.0,173.0,1.0,28,0.6428571428571429,2.71,0.4,2.36,0.64,1.0,0.37,0.3,0.69,145
Nate Loughran,131,41,Middleweight 185 lb,188.0,188.0,1.0,13,0.8461538461538461,1.81,0.4,4.11,0.59,0.0,0.0,2.1,0.0,185
Brendan Loughnane,132,32,Featherweight 145 lb,178.0,178.0,1.0,20,0.85,6.23,0.63,6.7,0.53,1.5,0.3,0.0,0.92,145
Gustavo Lopez,133,32,Bantamweight 135 lb,165.0,170.0,1.0303030303030303,19,0.631578947368421,2.48,0.4,3.87,0.57,1.74,0.41,0.7,0.31,135
Benito Lopez,134,27,Bantamweight 135 lb,178.0,185.0,1.0393258426966292,11,0.9090909090909091,4.49,0.44,4.8,0.58,0.0,0.0,0.3,0.78,135
Matthew Lopez,135,35,Bantamweight 135 lb,170.0,175.0,1.0294117647058822,14,0.7142857142857143,3.13,0.5,3.73,0.55,3.32,0.6,1.3,0.71,135
Jorge Lopez,136,33,Welterweight 170 lb,178.0,178.0,1.0,16,0.6875,2.47,0.59,2.57,0.5,3.5,0.41,0.0,0.81,170
Steve Lopez,137,37,Lightweight 155 lb,180.0,180.0,1.0,20,0.65,1.39,0.24,2.69,0.62,0.0,0.0,0.0,0.37,155
Diego Lopes,138,27,Featherweight 145 lb,180.0,183.0,1.0166666666666666,23,0.8260869565217391,1.96,0.5,4.31,0.4,0.0,0.0,4.4,0.25,145
Dileno Lopes,139,37,Bantamweight 135 lb,165.0,165.0,1.0,22,0.8636363636363636,2.37,0.36,3.33,0.53,2.5,0.31,1.5,1.0,135
Ange Loosa,140,28,Welterweight 170 lb,178.0,188.0,1.0561797752808988,9,0.7777777777777778,4.27,0.34,7.2,0.52,1.0,0.25,1.0,1.0,170
Loma Lookboonmee,141,26,Strawweight 115 lb,155.0,155.0,1.0,9,0.6666666666666666,4.41,0.56,2.81,0.54,1.4,0.38,0.0,0.68,115
Michael Lombardo,142,31,Welterweight 170 lb,183.0,183.0,1.0,13,0.8461538461538461,1.47,0.62,2.63,0.31,2.5,0.21,0.0,0.6,170
Hector Lombard,143,44,Middleweight 185 lb,175.0,180.0,1.0285714285714285,45,0.7555555555555555,3.02,0.46,3.35,0.53,1.69,0.48,0.5,0.77,185
David Loiseau,144,42,Middleweight 185 lb,183.0,193.0,1.0546448087431695,34,0.6764705882352942,1.59,0.44,3.64,0.43,0.43,0.42,0.1,0.36,185
Christian Lohsen,145,27,Lightweight 155 lb,188.0,196.0,1.0425531914893618,6,0.6666666666666666,5.27,0.49,6.93,0.44,0.0,0.0,2.0,0.0,155
Ariane Lipski,146,28,Flyweight 125 lb,168.0,170.0,1.0119047619047619,21,0.6666666666666666,3.33,0.36,3.9,0.51,0.19,0.2,0.4,0.55,125
Lucio Linhares,147,48,Middleweight 185 lb,188.0,188.0,1.0,27,0.7037037037037037,0.99,0.22,3.47,0.34,1.86,0.5,1.9,0.5,185
Dylan Lockard,148,29,Featherweight 145 lb,175.0,183.0,1.0457142857142858,8,0.75,1.31,0.53,3.31,0.52,2.31,0.4,1.2,0.28,145
Dean Lister,149,46,Middleweight 185 lb,185.0,190.0,1.027027027027027,20,0.65,1.26,0.35,1.89,0.61,1.58,0.15,1.1,0.5,185
Jake Lindsey,150,35,Lightweight 155 lb,180.0,180.0,1.0,19,0.631578947368421,3.44,0.52,4.01,0.46,0.65,0.33,0.0,0.5,155
Matt Lindland,151,51,Middleweight 185 lb,183.0,188.0,1.0273224043715847,31,0.7096774193548387,2.62,0.5,1.56,0.52,3.01,0.48,1.3,0.6,185
Artem Lobov,152,35,Featherweight 145 lb,175.0,165.0,0.9428571428571428,29,0.4482758620689655,3.52,0.41,4.82,0.5,0.39,0.25,0.0,0.52,145
Mabelly Lima,153,28,Bantamweight 135 lb,157.0,157.0,1.0,8,0.875,3.07,0.63,5.67,0.44,0.0,0.0,0.0,1.0,135
Abner Lloveras,154,39,Lightweight 155 lb,180.0,180.0,1.0,30,0.6666666666666666,6.27,0.49,6.87,0.43,2.0,0.2,0.0,0.0,155
Douglas Lima,155,34,Welterweight 170 lb,185.0,185.0,1.0,35,0.8285714285714286,1.92,0.36,2.84,0.6,0.6,1.0,0.0,0.46,170
John Lineker,156,31,Bantamweight 135 lb,160.0,170.0,1.0625,40,0.775,5.36,0.4,4.27,0.56,0.56,0.58,0.6,0.67,135
Austin Lingo,157,27,Featherweight 145 lb,178.0,178.0,1.0,10,0.9,4.0,0.42,3.82,0.58,0.67,0.66,0.0,0.8,145
Philipe Lins,158,36,Heavyweight 265 lb,188.0,198.0,1.053191489361702,19,0.7368421052631579,2.66,0.4,3.68,0.49,0.0,0.0,0.0,0.0,240
Jae Suk Lim,159,42,Welterweight 170 lb,175.0,175.0,1.0,23,0.7391304347826086,2.43,0.5,4.05,0.37,12.16,1.0,0.0,1.0,170
Hyun Gyu Lim,160,37,Welterweight 170 lb,190.0,196.0,1.0315789473684212,21,0.6190476190476191,4.45,0.41,5.07,0.51,0.23,1.0,0.2,0.73,170
Scott Lighty,161,43,Light Heavyweight 205 lb,188.0,188.0,1.0,8,0.75,2.91,0.21,4.24,0.49,0.0,0.0,0.0,0.0,205
Zach Light,162,48,Welterweight 170 lb,173.0,173.0,1.0,20,0.45,0.81,0.33,1.9,0.48,1.36,1.0,0.0,0.0,170
Dhiego Lima,163,33,Welterweight 170 lb,188.0,190.0,1.0106382978723405,26,0.6538461538461539,3.12,0.39,3.88,0.58,1.26,0.34,0.6,0.73,170
Juliana Lima,164,39,Strawweight 115 lb,165.0,165.0,1.0,14,0.6428571428571429,1.94,0.44,2.11,0.55,1.72,0.31,0.0,0.7,115
Natan Levy,165,30,Lightweight 155 lb,175.0,180.0,1.0285714285714285,7,0.8571428571428571,2.51,0.41,1.7,0.6,2.89,0.55,1.2,0.46,155
Marcus LeVesseur,166,39,Lightweight 155 lb,175.0,178.0,1.0171428571428571,29,0.7586206896551724,2.55,0.64,3.7,0.37,3.89,0.36,0.6,0.83,155
Justin Levens,167,41,Middleweight 185 lb,180.0,180.0,1.0,17,0.5882352941176471,1.24,0.47,3.15,0.37,1.69,0.5,5.1,0.33,185
